Unnamed: 0,Town,Cases,Date,Lat,Lon,Deaths,CaseRate,Daily_reported_cases,Daily_reported_cases_MA7,Pop,Income,Dens
5692,Putnam,11,2020-04-26,41.9080271,-71.8704519,0,117.0,0.0,0,9584,51621,11.477462437395658
5621,East Windsor,36,2020-04-26,41.9040095,-72.5644729,1,316.0,1.0,2,11162,74798,32.25228453682136
5741,Windsor Locks,39,2020-04-26,41.9277901,-72.65161579999999,5,303.0,2.0,1,12498,68944,31.204992798847815
5735,Wethersfield,125,2020-04-26,41.70248370000001,-72.66930140000002,5,479.0,8.0,5,26668,77195,46.87265636718164
5624,Ellington,29,2020-04-26,41.9151666,-72.4442938,4,178.0,2.0,1,15602,85545,18.587360594795538
5607,Cornwall,4,2020-04-26,41.8496485,-73.3300949,0,292.0,0.0,0,1420,75833,28.169014084507044
5631,Goshen,7,2020-04-26,41.8495372,-73.2340016,0,243.0,0.0,0,2976,92361,23.521505376344088
5716,Thomaston,37,2020-04-26,41.6648907,-73.0958729,0,489.0,0.0,1,7887,67191,46.91264105490047
5595,Brooklyn,13,2020-04-26,41.787243200000006,-71.9574015,0,157.0,0.0,1,8210,60694,15.834348355663824
5639,Hampton,0,2020-04-26,41.78303010000001,-72.0645718,0,0.0,0.0,0,1863,76625,0.0
5600,Chaplin,1,2020-04-26,41.7908895,-72.1295395,0,44.0,1.0,0,2305,67054,4.3383947939262475
5654,Mansfield,16,2020-04-26,41.7892725,-72.2284642,1,62.0,0.0,1,26543,60263,6.027954639641337
5608,Coventry,26,2020-04-26,41.7800989,-72.3440207,0,209.0,1.0,1,12435,90309,20.908725371934057
5706,South Windsor,78,2020-04-26,41.8380902,-72.5778358,12,299.0,3.0,4,25709,97389,30.33956980045898
5722,Vernon,120,2020-04-26,41.83752310000001,-72.4591228,7,410.0,16.0,4,29179,59961,41.12546694540594
5688,Pomfret,9,2020-04-26,41.8653744,-71.9791434,0,214.0,0.0,0,4247,91053,21.191429244172355
5719,Torrington,278,2020-04-26,41.8342549,-73.13152009999997,49,812.0,5.0,11,36383,56264,76.40931204133798
5587,Bloomfield,233,2020-04-26,41.8449305,-72.7409509,42,1094.0,6.0,11,20486,72762,113.73621009469882
5645,Killingly,19,2020-04-26,41.82986560000001,-71.8490767,1,110.0,0.0,0,17370,55764,10.938399539435808
5721,Union,1,2020-04-26,42.005783,-72.158567,0,119.0,0.0,0,854,95865,11.7096018735363
5710,Stafford,73,2020-04-26,41.98388189999999,-72.3075749,17,614.0,1.0,2,12087,62371,60.39546620335898
5705,Somers,65,2020-04-26,41.9927806,-72.45362970000002,2,600.0,2.0,5,11444,95605,56.798322264942335
5625,Enfield,276,2020-04-26,41.983993,-72.5555531,16,621.0,4.0,8,44654,67377,61.80857258028396
5715,Suffield,85,2020-04-26,41.9999149,-72.67875090000003,12,540.0,1.0,2,15735,99707,54.01970130282809
5632,Granby,13,2020-04-26,41.9714802,-72.83015879999998,1,114.0,3.0,0,11282,102671,11.522779648998405
5668,New Hartford,17,2020-04-26,41.8410406,-72.9986804,1,254.0,1.0,0,6970,87596,24.390243902439025
5579,Ashford,9,2020-04-26,41.8971227,-72.17142679999998,0,211.0,0.0,0,4317,77870,20.847810979847115
5599,Canton,51,2020-04-26,41.8587259,-72.9108619,12,497.0,3.0,3,10292,87326,49.55305091333074
5693,Redding,55,2020-04-26,41.3054148,-73.3925837,6,603.0,0.0,3,9158,121270,60.05678095654073
5711,Stamford,2255,2020-04-26,41.0798566,-73.54602790000001,115,1738.0,8.0,71,122643,79359,183.8669960780477
5734,Westport,230,2020-04-26,41.1220019,-73.3434064,12,818.0,0.0,6,26391,162907,87.15092266302906
5666,New Canaan,129,2020-04-26,41.1610538,-73.50118370000001,19,638.0,1.0,3,19738,168311,65.35616577160806
5591,Bridgeport,1768,2020-04-26,41.1873858,-73.19573390000002,81,1220.0,63.0,76,144229,41801,122.58283701613406
5627,Fairfield,365,2020-04-26,41.1759399,-73.272046,41,589.0,13.0,14,59404,122306,61.443673826678335
5737,Wilton,144,2020-04-26,41.2065319,-73.4376073,27,783.0,0.0,5,18062,172095,79.72539032222345
5733,Weston,60,2020-04-26,41.2281028,-73.3667574,2,586.0,1.0,2,10179,217171,58.944886531093424
5660,Milford,443,2020-04-26,41.2240963,-73.06003079999998,44,810.0,9.0,14,52759,80247,83.96671657916184
5720,Trumbull,328,2020-04-26,41.2728914,-73.2118988,49,916.0,17.0,17,36018,111312,91.06557832195014
5683,Orange,62,2020-04-26,41.2849513,-73.0246368,1,444.0,2.0,3,13956,107047,44.42533677271424
5590,Branford,233,2020-04-26,41.2795664,-72.7903506,18,832.0,9.0,7,28026,71938,83.13708699065154
5623,Easton,27,2020-04-26,41.2649447,-73.3004792,1,359.0,0.0,0,7490,131189,36.04806408544726
5603,Clinton,28,2020-04-26,41.2951299,-72.5300394,2,216.0,0.0,0,13260,71455,21.116138763197586
5682,Old Saybrook,20,2020-04-26,41.2935043,-72.3835936,0,198.0,1.0,0,10242,71796,19.527436047646944
5732,Westbrook,14,2020-04-26,41.3036945,-72.47801679999998,1,202.0,0.0,0,6938,78346,20.17872585759585
5669,New Haven,1411,2020-04-26,41.3108088,-72.924953,51,1082.0,34.0,52,129779,37192,108.7232911333883
5622,Eastford,6,2020-04-26,41.8955959,-72.0933051,0,335.0,1.0,0,1749,78466,34.305317324185246
5679,Norwalk,1409,2020-04-26,41.0927388,-73.41979549999998,69,1582.0,7.0,78,85603,76987,164.59703515063723
5633,Greenwich,625,2020-04-26,41.0434601,-73.62841329999998,33,996.0,5.0,36,61171,128153,102.17259812656323
5714,Stratford,491,2020-04-26,41.2054753,-73.128152,31,945.0,8.0,14,51384,66886,95.55503658726452
5728,Waterford,99,2020-04-26,41.3518196,-72.14689240000001,10,524.0,0.0,3,19517,75956,50.725008966541985
5738,Winchester,39,2020-04-26,41.9228687,-73.1099267,2,366.0,1.0,1,11242,52757,34.691336061199074
5611,Darien,178,2020-04-26,41.0521498,-73.4797138,5,818.0,0.0,5,20732,208906,85.85761142195639
5615,East Granby,5,2020-04-26,41.929719,-72.7453784,0,97.0,0.0,0,5148,72684,9.712509712509712
5597,Canaan,0,2020-04-26,41.9629594,-73.30714329999998,0,0.0,0.0,0,1234,72321,0.0
5717,Thompson,13,2020-04-26,41.99028670000001,-71.8670243,1,138.0,0.0,0,9458,69924,13.744977796574329
5745,Woodstock,11,2020-04-26,41.9662084,-72.0227864,0,140.0,0.0,0,7964,78594,13.812154696132596
5641,Hartland,5,2020-04-26,42.0012054,-72.95402659999998,0,236.0,0.0,0,2114,91964,23.651844843897823
5605,Colebrook,2,2020-04-26,42.0053727,-73.0637318,0,142.0,0.0,0,1485,81172,13.468013468013469
5674,Norfolk,6,2020-04-26,41.969912,-73.17846440000002,0,366.0,1.0,0,1709,72875,35.108250438853126
5581,Barkhamsted,14,2020-04-26,41.9357077,-72.9729214,0,386.0,1.0,0,3799,95735,36.851803106080546
5698,Salisbury,6,2020-04-26,41.986226,-73.4252735,0,167.0,0.0,0,3741,82794,16.038492381716118
5691,Prospect,32,2020-04-26,41.4992475,-72.9756347,0,327.0,1.0,1,9405,102397,34.02445507708666
5667,New Fairfield,94,2020-04-26,41.4820807,-73.4876199,1,677.0,0.0,3,13881,101273,67.71846408760176
5731,West Haven,653,2020-04-26,41.2721217,-72.96749770000002,27,1190.0,12.0,28,55564,50846,117.52213663523143
5635,Groton,63,2020-04-26,41.3475735,-72.0313358,7,163.0,15.0,4,40115,62137,15.704848560388882
5700,Seymour,145,2020-04-26,41.3851323,-73.0835288,19,878.0,5.0,5,16540,76991,87.66626360338573
5675,North Branford,57,2020-04-26,41.3638391,-72.7848682,2,403.0,1.0,1,14407,84697,39.56410078434095
5676,North Canaan,4,2020-04-26,42.0222151,-73.2957158,1,123.0,0.0,0,3315,69231,12.066365007541478
